session_id,web_user_id,session_start_utc,session_end_utc,source_channel,campaign_id,device_type,country_code,converted_order_id,created_at
1000059,700009,2025-09-29T08:28:36+00:00,2025-09-29T08:30:39+00:00,Paid Search,,desktop,US,,2026-08-15T12:00:00+00:00
1000060,700052,2025-06-15T11:04:48+00:00,2025-06-15T11:05:48+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000061,700002,2025-08-10T06:28:15+00:00,2025-08-10T06:29:01+00:00,Paid Search,8001.0,mobile,US,9000006.0,2026-08-15T12:00:00+00:00
1000062,700031,2025-01-04T04:16:24+00:00,2025-01-04T04:19:39+00:00,Email,8003.0,desktop,US,,2026-08-15T12:00:00+00:00
1000063,700027,2025-02-10T15:09:26+00:00,2025-02-10T15:11:00+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000064,700056,2025-02-01T21:49:35+00:00,2025-02-01T21:50:02+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000065,700026,2025-04-21T12:42:59+00:00,2025-04-21T12:44:12+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000066,700047,2026-04-18T02:23:25+00:00,2026-04-18T02:24:35+00:00,Paid Search,8001.0,mobile,US,,2026-08-15T12:00:00+00:00
1000067,700074,2026-04-03T13:21:50+00:00,2026-04-03T13:22:20+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000068,700036,2026-06-23T09:26:21+00:00,2026-06-23T09:26:41+00:00,Paid Search,8005.0,desktop,US,,2026-08-15T12:00:00+00:00
1000069,700079,2025-05-24T14:32:26+00:00,2025-05-24T14:34:03+00:00,Paid Search,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000070,700009,2025-04-05T11:31:39+00:00,2025-04-05T11:33:37+00:00,Direct,,desktop,US,,2026-08-15T12:00:00+00:00
1000071,700071,2025-01-09T00:31:24+00:00,2025-01-09T00:33:28+00:00,Direct,,desktop,US,,2026-08-15T12:00:00+00:00
1000072,700027,2026-07-27T06:17:22+00:00,2026-07-27T06:22:20+00:00,Paid Search,8008.0,mobile,US,,2026-08-15T12:00:00+00:00
1000073,700031,2025-10-24T05:56:05+00:00,2025-10-24T05:56:39+00:00,Affiliate,8005.0,mobile,US,,2026-08-15T12:00:00+00:00
1000074,700037,2025-07-08T22:58:53+00:00,2025-07-08T23:00:18+00:00,Affiliate,8006.0,desktop,US,,2026-08-15T12:00:00+00:00
1000075,700015,2026-07-10T03:00:36+00:00,2026-07-10T03:02:04+00:00,Social,8005.0,mobile,US,,2026-08-15T12:00:00+00:00
1000076,700079,2026-04-13T21:37:51+00:00,2026-04-13T21:38:26+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000077,700028,2025-10-14T12:29:18+00:00,2025-10-14T12:30:19+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000078,700070,2025-04-07T06:22:25+00:00,2025-04-07T06:25:52+00:00,Email,8007.0,mobile,US,,2026-08-15T12:00:00+00:00
1000079,700074,2025-03-19T23:00:59+00:00,2025-03-19T23:01:32+00:00,Direct,,tablet,US,,2026-08-15T12:00:00+00:00
1000080,700002,2025-10-30T04:43:24+00:00,2025-10-30T04:43:51+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000081,700078,2025-11-02T04:09:36+00:00,2025-11-02T04:10:18+00:00,Paid Search,8005.0,desktop,US,,2026-08-15T12:00:00+00:00
1000082,700026,2026-03-09T04:36:50+00:00,2026-03-09T04:37:11+00:00,Paid Search,,desktop,US,,2026-08-15T12:00:00+00:00
1000083,700037,2025-10-17T18:18:10+00:00,2025-10-17T18:19:38+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000084,700045,2026-07-03T12:46:19+00:00,2026-07-03T12:46:43+00:00,Paid Search,8007.0,desktop,US,,2026-08-15T12:00:00+00:00
1000085,700001,2025-11-04T23:17:44+00:00,2025-11-04T23:18:53+00:00,Affiliate,8008.0,mobile,US,,2026-08-15T12:00:00+00:00
1000086,700053,2025-06-22T02:16:44+00:00,2025-06-22T02:17:41+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000087,700061,2026-02-13T08:35:50+00:00,2026-02-13T08:38:13+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000088,700048,2025-10-13T14:08:30+00:00,2025-10-13T14:09:03+00:00,Email,8008.0,mobile,US,9000186.0,2026-08-15T12:00:00+00:00
1000089,700026,2026-02-15T19:40:16+00:00,2026-02-15T19:41:45+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000090,700055,2025-12-04T05:33:48+00:00,2025-12-04T05:34:19+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000091,700062,2025-05-23T01:05:36+00:00,2025-05-23T01:07:39+00:00,Email,8004.0,desktop,US,9000191.0,2026-08-15T12:00:00+00:00
1000092,700021,2026-03-22T09:35:45+00:00,2026-03-22T09:38:13+00:00,Social,8004.0,tablet,US,,2026-08-15T12:00:00+00:00
1000093,700027,2025-02-22T11:23:34+00:00,2025-02-22T11:26:07+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000094,700034,2026-06-03T13:52:44+00:00,2026-06-03T13:53:54+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000095,700036,2025-08-20T14:49:34+00:00,2025-08-20T14:50:18+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000096,700012,2025-12-08T11:03:24+00:00,2025-12-08T11:06:15+00:00,Social,8008.0,desktop,US,,2026-08-15T12:00:00+00:00
1000097,700064,2025-09-05T17:53:00+00:00,2025-09-05T17:54:47+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000098,700039,2026-06-06T04:12:54+00:00,2026-06-06T04:16:03+00:00,Email,8003.0,mobile,US,,2026-08-15T12:00:00+00:00
1000099,700042,2026-05-30T16:17:49+00:00,2026-05-30T16:20:33+00:00,Email,8007.0,desktop,US,,2026-08-15T12:00:00+00:00
1000100,700014,2026-06-09T16:39:40+00:00,2026-06-09T16:40:06+00:00,Email,,tablet,US,,2026-08-15T12:00:00+00:00
1000101,700037,2025-11-20T14:37:14+00:00,2025-11-20T14:38:58+00:00,Social,8005.0,desktop,US,,2026-08-15T12:00:00+00:00
1000102,700059,2025-02-01T16:28:34+00:00,2025-02-01T16:29:31+00:00,Direct,,tablet,US,,2026-08-15T12:00:00+00:00
1000103,700070,2025-06-25T07:14:30+00:00,2025-06-25T07:15:52+00:00,Paid Search,8004.0,mobile,US,,2026-08-15T12:00:00+00:00
1000104,700006,2026-03-19T15:27:37+00:00,2026-03-19T15:29:28+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000105,700026,2025-11-06T05:11:37+00:00,2025-11-06T05:13:40+00:00,Social,8003.0,mobile,US,,2026-08-15T12:00:00+00:00
1000106,700027,2026-04-02T21:16:19+00:00,2026-04-02T21:18:24+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000107,700015,2026-02-14T07:53:58+00:00,2026-02-14T07:54:55+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000108,700030,2025-10-05T23:05:58+00:00,2025-10-05T23:07:01+00:00,Paid Search,8001.0,mobile,US,,2026-08-15T12:00:00+00:00
1000109,700040,2025-09-17T11:23:45+00:00,2025-09-17T11:24:06+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000110,700009,2026-07-10T18:12:26+00:00,2026-07-10T18:13:26+00:00,Affiliate,,mobile,US,,2026-08-15T12:00:00+00:00
1000111,700066,2026-04-21T22:18:35+00:00,2026-04-21T22:19:22+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000112,700032,2025-11-06T07:11:38+00:00,2025-11-06T07:16:05+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000113,700046,2025-05-07T22:33:13+00:00,2025-05-07T22:33:31+00:00,Social,8002.0,mobile,US,,2026-08-15T12:00:00+00:00
1000114,700072,2025-07-02T22:10:07+00:00,2025-07-02T22:12:23+00:00,Social,8008.0,desktop,US,,2026-08-15T12:00:00+00:00
1000115,700023,2026-03-04T09:27:16+00:00,2026-03-04T09:27:39+00:00,Organic,,tablet,US,,2026-08-15T12:00:00+00:00
1000116,700013,2025-07-14T07:22:32+00:00,2025-07-14T07:24:17+00:00,Email,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000117,700064,2025-05-23T02:14:00+00:00,2025-05-23T02:14:41+00:00,Direct,,desktop,US,,2026-08-15T12:00:00+00:00
1000118,700073,2025-08-07T02:25:30+00:00,2025-08-07T02:26:03+00:00,Direct,,desktop,US,,2026-08-15T12:00:00+00:00
1000119,700030,2025-09-13T19:06:19+00:00,2025-09-13T19:08:23+00:00,Direct,,desktop,US,,2026-08-15T12:00:00+00:00
1000120,700049,2026-01-26T21:01:24+00:00,2026-01-26T21:02:38+00:00,Social,8005.0,mobile,US,,2026-08-15T12:00:00+00:00
1000121,700021,2026-02-20T07:03:00+00:00,2026-02-20T07:10:26+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000122,700026,2026-06-24T03:31:08+00:00,2026-06-24T03:33:51+00:00,Paid Search,,mobile,US,,2026-08-15T12:00:00+00:00
1000123,700029,2025-12-06T12:54:00+00:00,2025-12-06T12:54:41+00:00,Affiliate,,mobile,US,,2026-08-15T12:00:00+00:00
1000124,700063,2025-06-24T14:33:28+00:00,2025-06-24T14:35:13+00:00,Paid Search,,mobile,US,,2026-08-15T12:00:00+00:00
1000125,700067,2026-04-16T08:43:11+00:00,2026-04-16T08:43:39+00:00,Affiliate,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000126,700039,2026-01-23T19:53:44+00:00,2026-01-23T19:54:41+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000127,700045,2025-04-15T20:14:04+00:00,2025-04-15T20:15:03+00:00,Paid Search,8002.0,mobile,US,,2026-08-15T12:00:00+00:00
1000128,700043,2025-07-31T11:11:53+00:00,2025-07-31T11:15:14+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000129,700009,2026-05-14T03:38:47+00:00,2026-05-14T03:40:05+00:00,Paid Search,,desktop,US,,2026-08-15T12:00:00+00:00
1000130,700068,2025-08-04T07:59:54+00:00,2025-08-04T08:01:40+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000131,700079,2026-04-10T10:47:38+00:00,2026-04-10T10:50:53+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000132,700054,2025-08-12T00:05:37+00:00,2025-08-12T00:07:28+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000133,700053,2026-07-03T15:56:06+00:00,2026-07-03T15:57:38+00:00,Paid Search,8008.0,tablet,US,,2026-08-15T12:00:00+00:00
1000134,700080,2025-07-20T01:17:54+00:00,2025-07-20T01:18:11+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000135,700003,2025-01-06T08:07:49+00:00,2025-01-06T08:08:15+00:00,Email,8002.0,mobile,US,,2026-08-15T12:00:00+00:00
1000136,700014,2025-10-05T07:52:02+00:00,2025-10-05T07:52:29+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000137,700021,2026-04-19T04:48:04+00:00,2026-04-19T04:51:02+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000138,700076,2025-03-20T07:28:48+00:00,2025-03-20T07:30:27+00:00,Social,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000139,700033,2026-07-06T14:01:11+00:00,2026-07-06T14:02:06+00:00,Direct,,tablet,US,,2026-08-15T12:00:00+00:00
1000140,700011,2025-10-17T04:07:45+00:00,2025-10-17T04:08:50+00:00,Social,8003.0,desktop,US,,2026-08-15T12:00:00+00:00
1000141,700019,2026-03-01T03:09:15+00:00,2026-03-01T03:10:23+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000142,700065,2026-01-08T20:49:56+00:00,2026-01-08T20:50:43+00:00,Social,,desktop,US,,2026-08-15T12:00:00+00:00
1000143,700041,2025-09-29T12:07:55+00:00,2025-09-29T12:08:05+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000144,700016,2025-04-25T05:12:16+00:00,2025-04-25T05:13:32+00:00,Affiliate,,desktop,US,,2026-08-15T12:00:00+00:00
1000145,700047,2026-03-13T00:34:23+00:00,2026-03-13T00:34:35+00:00,Affiliate,8003.0,mobile,US,,2026-08-15T12:00:00+00:00
1000146,700060,2025-04-24T04:10:39+00:00,2025-04-24T04:12:38+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000147,700080,2025-11-18T11:24:48+00:00,2025-11-18T11:26:32+00:00,Affiliate,8003.0,desktop,US,,2026-08-15T12:00:00+00:00
1000148,700058,2026-02-14T07:51:25+00:00,2026-02-14T07:52:51+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000149,700042,2025-08-12T22:17:37+00:00,2025-08-12T22:18:46+00:00,Social,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000150,700043,2025-08-02T04:45:35+00:00,2025-08-02T04:52:37+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000151,700035,2025-05-07T03:03:39+00:00,2025-05-07T03:04:04+00:00,Paid Search,8007.0,mobile,US,,2026-08-15T12:00:00+00:00
1000152,700051,2025-06-08T04:26:17+00:00,2025-06-08T04:27:09+00:00,Affiliate,8001.0,desktop,US,,2026-08-15T12:00:00+00:00
1000153,700024,2025-06-15T23:19:18+00:00,2025-06-15T23:22:54+00:00,Social,8007.0,tablet,US,,2026-08-15T12:00:00+00:00
1000154,700039,2026-01-06T19:06:02+00:00,2026-01-06T19:07:03+00:00,Email,8005.0,mobile,US,9000085.0,2026-08-15T12:00:00+00:00
1000155,700055,2026-06-10T08:28:35+00:00,2026-06-10T08:29:47+00:00,Affiliate,8008.0,desktop,US,,2026-08-15T12:00:00+00:00
1000156,700058,2026-04-16T06:37:35+00:00,2026-04-16T06:38:17+00:00,Email,8003.0,mobile,US,,2026-08-15T12:00:00+00:00
1000157,700040,2026-02-10T08:42:27+00:00,2026-02-10T08:48:36+00:00,Paid Search,8003.0,desktop,US,,2026-08-15T12:00:00+00:00
1000158,700080,2026-02-06T03:02:24+00:00,2026-02-06T03:03:04+00:00,Email,8004.0,mobile,US,,2026-08-15T12:00:00+00:00
1000159,700045,2025-06-28T10:01:34+00:00,2025-06-28T10:02:31+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000160,700065,2025-05-29T03:09:58+00:00,2025-05-29T03:12:28+00:00,Paid Search,8005.0,desktop,US,,2026-08-15T12:00:00+00:00
1000161,700026,2025-07-23T23:29:23+00:00,2025-07-23T23:30:40+00:00,Social,8003.0,mobile,US,,2026-08-15T12:00:00+00:00
1000162,700064,2025-07-12T05:08:08+00:00,2025-07-12T05:08:47+00:00,Email,8004.0,mobile,US,,2026-08-15T12:00:00+00:00
1000163,700016,2025-02-20T23:47:07+00:00,2025-02-20T23:48:41+00:00,Social,,desktop,US,,2026-08-15T12:00:00+00:00
1000164,700011,2025-06-07T13:17:36+00:00,2025-06-07T13:19:26+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000165,700025,2025-03-24T00:25:45+00:00,2025-03-24T00:27:01+00:00,Direct,,desktop,US,,2026-08-15T12:00:00+00:00
1000166,700035,2026-03-06T03:54:16+00:00,2026-03-06T03:56:12+00:00,Email,8006.0,desktop,US,,2026-08-15T12:00:00+00:00
1000167,700055,2025-12-25T20:11:33+00:00,2025-12-25T20:23:44+00:00,Social,8006.0,desktop,US,,2026-08-15T12:00:00+00:00
1000168,700035,2025-11-14T11:24:33+00:00,2025-11-14T11:25:09+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000169,700030,2026-02-12T22:46:42+00:00,2026-02-12T22:48:08+00:00,Social,8008.0,desktop,US,,2026-08-15T12:00:00+00:00
1000170,700064,2026-06-26T00:01:22+00:00,2026-06-26T00:01:51+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000171,700005,2025-07-14T21:21:42+00:00,2025-07-14T21:22:45+00:00,Social,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000172,700012,2026-06-02T23:06:36+00:00,2026-06-02T23:08:47+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000173,700042,2026-02-06T15:21:57+00:00,2026-02-06T15:22:26+00:00,Social,8001.0,desktop,US,,2026-08-15T12:00:00+00:00
1000174,700058,2026-01-31T03:02:00+00:00,2026-01-31T03:03:43+00:00,Paid Search,8003.0,desktop,US,,2026-08-15T12:00:00+00:00
1000175,700078,2025-06-01T17:03:19+00:00,2025-06-01T17:03:41+00:00,Social,8008.0,mobile,US,,2026-08-15T12:00:00+00:00
1000176,700016,2026-05-28T16:56:51+00:00,2026-05-28T16:59:28+00:00,Organic,,desktop,US,,2026-08-15T12:00:00+00:00
1000177,700049,2026-06-19T06:03:45+00:00,2026-06-19T06:05:50+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000178,700033,2025-05-04T23:32:13+00:00,2025-05-04T23:34:53+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000179,700053,2025-02-15T03:18:26+00:00,2025-02-15T03:18:54+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000180,700025,2025-03-18T23:03:06+00:00,2025-03-18T23:03:42+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000181,700051,2025-02-24T01:01:28+00:00,2025-02-24T01:03:09+00:00,Email,,mobile,US,,2026-08-15T12:00:00+00:00
1000182,700067,2025-09-10T12:40:15+00:00,2025-09-10T12:40:37+00:00,Social,8008.0,mobile,US,,2026-08-15T12:00:00+00:00
1000183,700078,2025-04-13T02:10:39+00:00,2025-04-13T02:12:02+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000184,700043,2025-11-17T21:25:02+00:00,2025-11-17T21:25:42+00:00,Organic,,mobile,US,,2026-08-15T12:00:00+00:00
1000185,700074,2025-04-03T08:47:49+00:00,2025-04-03T08:48:45+00:00,Paid Search,,desktop,US,,2026-08-15T12:00:00+00:00
1000186,700023,2025-06-28T01:35:30+00:00,2025-06-28T01:35:50+00:00,Affiliate,8006.0,mobile,US,,2026-08-15T12:00:00+00:00
1000187,700021,2025-09-10T04:29:56+00:00,2025-09-10T04:31:01+00:00,Social,,mobile,US,,2026-08-15T12:00:00+00:00
1000188,700017,2026-05-06T07:42:58+00:00,2026-05-06T07:43:36+00:00,Paid Search,8007.0,desktop,US,,2026-08-15T12:00:00+00:00
1000189,700015,2025-05-12T06:45:41+00:00,2025-05-12T06:46:16+00:00,Direct,,mobile,US,,2026-08-15T12:00:00+00:00
1000190,700005,2025-04-01T14:29:17+00:00,2025-04-01T14:29:42+00:00,Social,8006.0,desktop,US,,2026-08-15T12:00:00+00:00
1000191,700061,2025-06-17T20:47:12+00:00,2025-06-17T20:47:48+00:00,Email,,mobile,US,,2026-08-15T12:00:00+00:00
1000192,700066,2025-03-10T00:39:44+00:00,2025-03-10T00:40:01+00:00,Affiliate,,mobile,US,,2026-08-15T12:00:00+00:00
