touchpoint_id,web_user_id,session_id,campaign_id,touchpoint_timestamp,touchpoint_type,attribution_weight,created_at
3000066,700080,1000147,8003,2025-11-18T11:24:48+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000067,700042,1000149,8006,2025-08-12T22:17:37+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000068,700035,1000151,8007,2025-05-07T03:03:39+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000069,700051,1000152,8001,2025-06-08T04:26:17+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000070,700024,1000153,8007,2025-06-15T23:19:18+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000071,700039,1000154,8005,2026-01-06T19:06:02+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000072,700055,1000155,8008,2026-06-10T08:28:35+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000073,700058,1000156,8003,2026-04-16T06:37:35+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000074,700040,1000157,8003,2026-02-10T08:42:27+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000075,700080,1000158,8004,2026-02-06T03:02:24+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000076,700065,1000160,8005,2025-05-29T03:09:58+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000077,700026,1000161,8003,2025-07-23T23:29:23+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000078,700064,1000162,8004,2025-07-12T05:08:08+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000079,700035,1000166,8006,2026-03-06T03:54:16+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000080,700055,1000167,8006,2025-12-25T20:11:33+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000081,700030,1000169,8008,2026-02-12T22:46:42+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000082,700005,1000171,8006,2025-07-14T21:21:42+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000083,700042,1000173,8001,2026-02-06T15:21:57+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000084,700058,1000174,8003,2026-01-31T03:02:00+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000085,700078,1000175,8008,2025-06-01T17:03:19+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000086,700067,1000182,8008,2025-09-10T12:40:15+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000087,700023,1000186,8006,2025-06-28T01:35:30+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000088,700017,1000188,8007,2026-05-06T07:42:58+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000089,700005,1000190,8006,2025-04-01T14:29:17+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000090,700079,1000193,8003,2025-01-23T19:08:31+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000091,700055,1000194,8001,2025-10-14T06:26:21+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000092,700076,1000197,8006,2026-05-02T17:53:00+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000093,700029,1000201,8002,2026-04-28T02:43:46+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000094,700016,1000205,8003,2025-02-12T10:34:29+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000095,700034,1000206,8008,2025-05-05T18:51:18+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000096,700010,1000208,8002,2025-06-12T01:41:38+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000097,700004,1000209,8008,2025-04-23T03:23:25+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000098,700061,1000210,8008,2025-07-08T08:46:00+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000099,700062,1000211,8002,2025-02-23T23:40:00+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000100,700053,1000215,8006,2026-06-17T23:38:21+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000101,700068,1000216,8005,2025-12-22T16:05:51+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000102,700076,1000217,8003,2025-06-22T16:03:10+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000103,700035,1000220,8002,2025-11-04T05:34:30+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000104,700017,1000221,8008,2026-04-09T16:10:43+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000105,700050,1000222,8008,2025-02-11T10:43:25+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000106,700036,1000223,8005,2025-08-11T10:37:33+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000107,700080,1000224,8007,2025-12-05T12:33:49+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000108,700080,1000227,8007,2025-03-18T11:38:54+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000109,700005,1000228,8002,2026-07-28T06:39:57+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000110,700010,1000229,8004,2026-04-20T08:00:52+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000111,700031,1000232,8001,2026-05-24T20:50:05+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000112,700036,1000235,8004,2026-04-24T11:25:33+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000113,700062,1000236,8007,2025-03-21T14:15:21+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000114,700062,1000238,8006,2025-05-29T16:10:04+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000115,700076,1000239,8004,2025-08-21T23:06:16+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000116,700047,1000241,8007,2025-03-30T12:43:27+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000117,700062,1000242,8004,2025-11-07T14:54:36+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000118,700002,1000243,8002,2026-06-13T18:49:38+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000119,700006,1000246,8002,2025-06-21T15:29:23+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000120,700033,1000247,8006,2025-10-19T04:46:44+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000121,700052,1000249,8008,2025-12-07T19:47:12+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000122,700006,1000250,8001,2026-04-05T21:52:02+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000123,700063,1000252,8006,2026-01-29T17:28:34+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000124,700055,1000253,8001,2025-08-02T00:28:52+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000125,700014,1000254,8002,2025-11-30T08:21:13+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000126,700061,1000255,8002,2026-04-24T14:09:04+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000127,700053,1000258,8007,2025-09-22T01:22:04+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000128,700074,1000264,8005,2025-05-02T11:53:29+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000129,700034,1000269,8008,2025-10-12T18:47:47+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000130,700063,1000273,8001,2026-06-08T13:43:30+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000131,700053,1000276,8005,2025-02-02T17:51:37+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000132,700043,1000277,8002,2025-05-25T02:36:03+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000133,700060,1000280,8007,2025-10-07T00:19:20+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000134,700064,1000281,8003,2025-06-19T20:02:50+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000135,700019,1000282,8002,2026-03-06T09:01:53+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000136,700064,1000285,8006,2026-01-15T08:54:44+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000137,700080,1000286,8006,2026-02-20T10:20:12+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000138,700037,1000291,8007,2025-02-18T01:29:12+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000139,700060,1000293,8005,2026-06-06T14:34:48+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000140,700065,1000296,8008,2025-12-08T15:55:37+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000141,700035,1000298,8001,2025-12-20T10:37:49+00:00,click,1.0,2026-08-15T12:00:00+00:00
3000142,700062,1000299,8003,2025-06-15T01:27:38+00:00,click,1.0,2026-08-15T12:00:00+00:00
