inventory_transaction_id,store_id,product_id,transaction_timestamp,transaction_type,quantity_change,reference_type,reference_id,created_at
40000050,201,10012,2026-07-30T00:00:00,ADJUSTMENT,1,SYNTHETIC,,2026-08-15T12:00:00
40000055,201,10016,2026-07-01T00:00:00,OPENING,50,SYNTHETIC,,2026-08-15T12:00:00
40000056,201,10016,2026-07-13T00:00:00,RECEIPT,48,SYNTHETIC,,2026-08-15T12:00:00
40000057,201,10016,2026-07-26T00:00:00,SALE,-7,SYNTHETIC,,2026-08-15T12:00:00
40000061,201,10011,2026-07-01T00:00:00,OPENING,81,SYNTHETIC,,2026-08-15T12:00:00
40000062,201,10011,2026-07-13T00:00:00,RECEIPT,51,SYNTHETIC,,2026-08-15T12:00:00
40000063,201,10011,2026-07-26T00:00:00,SALE,-27,SYNTHETIC,,2026-08-15T12:00:00
40000064,201,10011,2026-07-30T00:00:00,ADJUSTMENT,2,SYNTHETIC,,2026-08-15T12:00:00
40000069,202,10029,2026-07-01T00:00:00,OPENING,5,SYNTHETIC,,2026-08-15T12:00:00
40000070,202,10029,2026-07-13T00:00:00,RECEIPT,21,SYNTHETIC,,2026-08-15T12:00:00
40000071,202,10029,2026-07-26T00:00:00,SALE,-21,SYNTHETIC,,2026-08-15T12:00:00
40000072,202,10029,2026-07-30T00:00:00,ADJUSTMENT,-1,SYNTHETIC,,2026-08-15T12:00:00
40000077,202,10007,2026-07-01T00:00:00,OPENING,28,SYNTHETIC,,2026-08-15T12:00:00
40000078,202,10007,2026-07-13T00:00:00,RECEIPT,13,SYNTHETIC,,2026-08-15T12:00:00
40000079,202,10007,2026-07-26T00:00:00,SALE,-37,SYNTHETIC,,2026-08-15T12:00:00
40000080,202,10007,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000085,202,10014,2026-07-01T00:00:00,OPENING,65,SYNTHETIC,,2026-08-15T12:00:00
40000086,202,10014,2026-07-13T00:00:00,RECEIPT,4,SYNTHETIC,,2026-08-15T12:00:00
40000087,202,10014,2026-07-26T00:00:00,SALE,-49,SYNTHETIC,,2026-08-15T12:00:00
40000088,202,10014,2026-07-30T00:00:00,ADJUSTMENT,1,SYNTHETIC,,2026-08-15T12:00:00
40000093,202,10003,2026-07-01T00:00:00,OPENING,73,SYNTHETIC,,2026-08-15T12:00:00
40000094,202,10003,2026-07-13T00:00:00,RECEIPT,13,SYNTHETIC,,2026-08-15T12:00:00
40000095,202,10003,2026-07-26T00:00:00,SALE,-38,SYNTHETIC,,2026-08-15T12:00:00
40000099,202,10001,2026-07-01T00:00:00,OPENING,111,SYNTHETIC,,2026-08-15T12:00:00
40000100,202,10001,2026-07-13T00:00:00,RECEIPT,2,SYNTHETIC,,2026-08-15T12:00:00
40000101,202,10001,2026-07-26T00:00:00,SALE,-33,SYNTHETIC,,2026-08-15T12:00:00
40000105,202,10009,2026-07-01T00:00:00,OPENING,105,SYNTHETIC,,2026-08-15T12:00:00
40000106,202,10009,2026-07-13T00:00:00,RECEIPT,2,SYNTHETIC,,2026-08-15T12:00:00
40000107,202,10009,2026-07-26T00:00:00,SALE,-37,SYNTHETIC,,2026-08-15T12:00:00
40000108,202,10009,2026-07-30T00:00:00,ADJUSTMENT,1,SYNTHETIC,,2026-08-15T12:00:00
40000113,202,10018,2026-07-01T00:00:00,OPENING,51,SYNTHETIC,,2026-08-15T12:00:00
40000114,202,10018,2026-07-13T00:00:00,RECEIPT,20,SYNTHETIC,,2026-08-15T12:00:00
40000115,202,10018,2026-07-26T00:00:00,SALE,-33,SYNTHETIC,,2026-08-15T12:00:00
40000119,202,10025,2026-07-01T00:00:00,OPENING,116,SYNTHETIC,,2026-08-15T12:00:00
40000120,202,10025,2026-07-13T00:00:00,RECEIPT,7,SYNTHETIC,,2026-08-15T12:00:00
40000121,202,10025,2026-07-26T00:00:00,SALE,-44,SYNTHETIC,,2026-08-15T12:00:00
40000122,202,10025,2026-07-30T00:00:00,ADJUSTMENT,-1,SYNTHETIC,,2026-08-15T12:00:00
40000127,202,10006,2026-07-01T00:00:00,OPENING,35,SYNTHETIC,,2026-08-15T12:00:00
40000128,202,10006,2026-07-13T00:00:00,RECEIPT,3,SYNTHETIC,,2026-08-15T12:00:00
40000129,202,10006,2026-07-26T00:00:00,SALE,-22,SYNTHETIC,,2026-08-15T12:00:00
40000130,202,10006,2026-07-30T00:00:00,ADJUSTMENT,-1,SYNTHETIC,,2026-08-15T12:00:00
40000135,202,10026,2026-07-01T00:00:00,OPENING,81,SYNTHETIC,,2026-08-15T12:00:00
40000136,202,10026,2026-07-13T00:00:00,RECEIPT,24,SYNTHETIC,,2026-08-15T12:00:00
40000137,202,10026,2026-07-26T00:00:00,SALE,-25,SYNTHETIC,,2026-08-15T12:00:00
40000141,203,10021,2026-07-01T00:00:00,OPENING,10,SYNTHETIC,,2026-08-15T12:00:00
40000142,203,10021,2026-07-13T00:00:00,RECEIPT,51,SYNTHETIC,,2026-08-15T12:00:00
40000143,203,10021,2026-07-26T00:00:00,SALE,-27,SYNTHETIC,,2026-08-15T12:00:00
40000144,203,10021,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000149,203,10023,2026-07-01T00:00:00,OPENING,26,SYNTHETIC,,2026-08-15T12:00:00
40000150,203,10023,2026-07-13T00:00:00,RECEIPT,27,SYNTHETIC,,2026-08-15T12:00:00
40000151,203,10023,2026-07-26T00:00:00,SALE,-12,SYNTHETIC,,2026-08-15T12:00:00
40000155,203,10030,2026-07-01T00:00:00,OPENING,89,SYNTHETIC,,2026-08-15T12:00:00
40000156,203,10030,2026-07-13T00:00:00,RECEIPT,31,SYNTHETIC,,2026-08-15T12:00:00
40000157,203,10030,2026-07-26T00:00:00,SALE,-17,SYNTHETIC,,2026-08-15T12:00:00
40000158,203,10030,2026-07-30T00:00:00,ADJUSTMENT,1,SYNTHETIC,,2026-08-15T12:00:00
40000163,203,10024,2026-07-01T00:00:00,OPENING,62,SYNTHETIC,,2026-08-15T12:00:00
40000164,203,10024,2026-07-13T00:00:00,RECEIPT,60,SYNTHETIC,,2026-08-15T12:00:00
40000165,203,10024,2026-07-26T00:00:00,SALE,-33,SYNTHETIC,,2026-08-15T12:00:00
40000166,203,10024,2026-07-30T00:00:00,ADJUSTMENT,2,SYNTHETIC,,2026-08-15T12:00:00
40000171,203,10004,2026-07-01T00:00:00,OPENING,70,SYNTHETIC,,2026-08-15T12:00:00
40000172,203,10004,2026-07-13T00:00:00,RECEIPT,37,SYNTHETIC,,2026-08-15T12:00:00
40000173,203,10004,2026-07-26T00:00:00,SALE,-46,SYNTHETIC,,2026-08-15T12:00:00
40000174,203,10004,2026-07-30T00:00:00,ADJUSTMENT,-1,SYNTHETIC,,2026-08-15T12:00:00
40000179,203,10020,2026-07-01T00:00:00,OPENING,109,SYNTHETIC,,2026-08-15T12:00:00
40000180,203,10020,2026-07-13T00:00:00,RECEIPT,54,SYNTHETIC,,2026-08-15T12:00:00
40000181,203,10020,2026-07-26T00:00:00,SALE,-42,SYNTHETIC,,2026-08-15T12:00:00
40000182,203,10020,2026-07-30T00:00:00,ADJUSTMENT,2,SYNTHETIC,,2026-08-15T12:00:00
40000187,203,10010,2026-07-01T00:00:00,OPENING,60,SYNTHETIC,,2026-08-15T12:00:00
40000188,203,10010,2026-07-13T00:00:00,RECEIPT,36,SYNTHETIC,,2026-08-15T12:00:00
40000189,203,10010,2026-07-26T00:00:00,SALE,-15,SYNTHETIC,,2026-08-15T12:00:00
40000193,203,10011,2026-07-01T00:00:00,OPENING,13,SYNTHETIC,,2026-08-15T12:00:00
40000194,203,10011,2026-07-13T00:00:00,RECEIPT,47,SYNTHETIC,,2026-08-15T12:00:00
40000195,203,10011,2026-07-26T00:00:00,SALE,-14,SYNTHETIC,,2026-08-15T12:00:00
40000196,203,10011,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000201,203,10016,2026-07-01T00:00:00,OPENING,49,SYNTHETIC,,2026-08-15T12:00:00
40000202,203,10016,2026-07-13T00:00:00,RECEIPT,20,SYNTHETIC,,2026-08-15T12:00:00
40000203,203,10016,2026-07-26T00:00:00,SALE,-46,SYNTHETIC,,2026-08-15T12:00:00
40000204,203,10016,2026-07-30T00:00:00,ADJUSTMENT,2,SYNTHETIC,,2026-08-15T12:00:00
40000209,203,10019,2026-07-01T00:00:00,OPENING,24,SYNTHETIC,,2026-08-15T12:00:00
40000210,203,10019,2026-07-13T00:00:00,RECEIPT,25,SYNTHETIC,,2026-08-15T12:00:00
40000211,203,10019,2026-07-26T00:00:00,SALE,-37,SYNTHETIC,,2026-08-15T12:00:00
40000212,203,10019,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000217,204,10013,2026-07-01T00:00:00,OPENING,66,SYNTHETIC,,2026-08-15T12:00:00
40000218,204,10013,2026-07-13T00:00:00,RECEIPT,37,SYNTHETIC,,2026-08-15T12:00:00
40000219,204,10013,2026-07-26T00:00:00,SALE,-40,SYNTHETIC,,2026-08-15T12:00:00
40000220,204,10013,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000225,204,10024,2026-07-01T00:00:00,OPENING,11,SYNTHETIC,,2026-08-15T12:00:00
40000226,204,10024,2026-07-13T00:00:00,RECEIPT,5,SYNTHETIC,,2026-08-15T12:00:00
40000227,204,10024,2026-07-26T00:00:00,SALE,-9,SYNTHETIC,,2026-08-15T12:00:00
40000228,204,10024,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000233,204,10019,2026-07-01T00:00:00,OPENING,101,SYNTHETIC,,2026-08-15T12:00:00
40000234,204,10019,2026-07-13T00:00:00,RECEIPT,10,SYNTHETIC,,2026-08-15T12:00:00
40000235,204,10019,2026-07-26T00:00:00,SALE,-26,SYNTHETIC,,2026-08-15T12:00:00
40000236,204,10019,2026-07-30T00:00:00,ADJUSTMENT,2,SYNTHETIC,,2026-08-15T12:00:00
40000241,204,10015,2026-07-01T00:00:00,OPENING,29,SYNTHETIC,,2026-08-15T12:00:00
40000242,204,10015,2026-07-13T00:00:00,RECEIPT,50,SYNTHETIC,,2026-08-15T12:00:00
40000243,204,10015,2026-07-26T00:00:00,SALE,-45,SYNTHETIC,,2026-08-15T12:00:00
40000244,204,10015,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000249,204,10005,2026-07-01T00:00:00,OPENING,56,SYNTHETIC,,2026-08-15T12:00:00
40000250,204,10005,2026-07-13T00:00:00,RECEIPT,49,SYNTHETIC,,2026-08-15T12:00:00
40000251,204,10005,2026-07-26T00:00:00,SALE,-49,SYNTHETIC,,2026-08-15T12:00:00
40000255,204,10029,2026-07-01T00:00:00,OPENING,13,SYNTHETIC,,2026-08-15T12:00:00
40000256,204,10029,2026-07-13T00:00:00,RECEIPT,10,SYNTHETIC,,2026-08-15T12:00:00
40000257,204,10029,2026-07-26T00:00:00,SALE,-23,SYNTHETIC,,2026-08-15T12:00:00
40000261,204,10004,2026-07-01T00:00:00,OPENING,14,SYNTHETIC,,2026-08-15T12:00:00
40000262,204,10004,2026-07-13T00:00:00,RECEIPT,57,SYNTHETIC,,2026-08-15T12:00:00
40000263,204,10004,2026-07-26T00:00:00,SALE,-23,SYNTHETIC,,2026-08-15T12:00:00
40000267,204,10014,2026-07-01T00:00:00,OPENING,63,SYNTHETIC,,2026-08-15T12:00:00
40000268,204,10014,2026-07-13T00:00:00,RECEIPT,38,SYNTHETIC,,2026-08-15T12:00:00
40000269,204,10014,2026-07-26T00:00:00,SALE,-7,SYNTHETIC,,2026-08-15T12:00:00
40000273,204,10009,2026-07-01T00:00:00,OPENING,38,SYNTHETIC,,2026-08-15T12:00:00
40000274,204,10009,2026-07-13T00:00:00,RECEIPT,56,SYNTHETIC,,2026-08-15T12:00:00
40000275,204,10009,2026-07-26T00:00:00,SALE,-9,SYNTHETIC,,2026-08-15T12:00:00
40000276,204,10009,2026-07-30T00:00:00,ADJUSTMENT,-1,SYNTHETIC,,2026-08-15T12:00:00
40000281,204,10002,2026-07-01T00:00:00,OPENING,29,SYNTHETIC,,2026-08-15T12:00:00
40000282,204,10002,2026-07-26T00:00:00,SALE,-18,SYNTHETIC,,2026-08-15T12:00:00
40000283,204,10002,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000287,205,10010,2026-07-01T00:00:00,OPENING,78,SYNTHETIC,,2026-08-15T12:00:00
40000288,205,10010,2026-07-13T00:00:00,RECEIPT,22,SYNTHETIC,,2026-08-15T12:00:00
40000289,205,10010,2026-07-26T00:00:00,SALE,-24,SYNTHETIC,,2026-08-15T12:00:00
40000293,205,10013,2026-07-01T00:00:00,OPENING,72,SYNTHETIC,,2026-08-15T12:00:00
40000294,205,10013,2026-07-13T00:00:00,RECEIPT,18,SYNTHETIC,,2026-08-15T12:00:00
40000295,205,10013,2026-07-26T00:00:00,SALE,-3,SYNTHETIC,,2026-08-15T12:00:00
40000299,205,10012,2026-07-01T00:00:00,OPENING,100,SYNTHETIC,,2026-08-15T12:00:00
40000300,205,10012,2026-07-13T00:00:00,RECEIPT,59,SYNTHETIC,,2026-08-15T12:00:00
40000301,205,10012,2026-07-26T00:00:00,SALE,-44,SYNTHETIC,,2026-08-15T12:00:00
40000302,205,10012,2026-07-30T00:00:00,ADJUSTMENT,1,SYNTHETIC,,2026-08-15T12:00:00
40000307,205,10007,2026-07-01T00:00:00,OPENING,24,SYNTHETIC,,2026-08-15T12:00:00
40000308,205,10007,2026-07-13T00:00:00,RECEIPT,34,SYNTHETIC,,2026-08-15T12:00:00
40000309,205,10007,2026-07-26T00:00:00,SALE,-4,SYNTHETIC,,2026-08-15T12:00:00
40000310,205,10007,2026-07-30T00:00:00,ADJUSTMENT,2,SYNTHETIC,,2026-08-15T12:00:00
40000315,205,10002,2026-07-01T00:00:00,OPENING,18,SYNTHETIC,,2026-08-15T12:00:00
40000316,205,10002,2026-07-13T00:00:00,RECEIPT,1,SYNTHETIC,,2026-08-15T12:00:00
40000317,205,10002,2026-07-26T00:00:00,SALE,-10,SYNTHETIC,,2026-08-15T12:00:00
40000321,205,10023,2026-07-01T00:00:00,OPENING,85,SYNTHETIC,,2026-08-15T12:00:00
40000322,205,10023,2026-07-13T00:00:00,RECEIPT,6,SYNTHETIC,,2026-08-15T12:00:00
40000323,205,10023,2026-07-26T00:00:00,SALE,-28,SYNTHETIC,,2026-08-15T12:00:00
40000324,205,10023,2026-07-30T00:00:00,ADJUSTMENT,2,SYNTHETIC,,2026-08-15T12:00:00
40000329,205,10014,2026-07-01T00:00:00,OPENING,48,SYNTHETIC,,2026-08-15T12:00:00
40000330,205,10014,2026-07-13T00:00:00,RECEIPT,56,SYNTHETIC,,2026-08-15T12:00:00
40000331,205,10014,2026-07-26T00:00:00,SALE,-16,SYNTHETIC,,2026-08-15T12:00:00
40000332,205,10014,2026-07-30T00:00:00,ADJUSTMENT,-1,SYNTHETIC,,2026-08-15T12:00:00
40000337,205,10003,2026-07-01T00:00:00,OPENING,56,SYNTHETIC,,2026-08-15T12:00:00
40000338,205,10003,2026-07-13T00:00:00,RECEIPT,6,SYNTHETIC,,2026-08-15T12:00:00
40000339,205,10003,2026-07-26T00:00:00,SALE,-19,SYNTHETIC,,2026-08-15T12:00:00
40000343,205,10001,2026-07-01T00:00:00,OPENING,120,SYNTHETIC,,2026-08-15T12:00:00
40000344,205,10001,2026-07-13T00:00:00,RECEIPT,14,SYNTHETIC,,2026-08-15T12:00:00
40000345,205,10001,2026-07-26T00:00:00,SALE,-7,SYNTHETIC,,2026-08-15T12:00:00
40000346,205,10001,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
40000351,205,10026,2026-07-01T00:00:00,OPENING,45,SYNTHETIC,,2026-08-15T12:00:00
40000352,205,10026,2026-07-13T00:00:00,RECEIPT,44,SYNTHETIC,,2026-08-15T12:00:00
40000353,205,10026,2026-07-26T00:00:00,SALE,-28,SYNTHETIC,,2026-08-15T12:00:00
40000354,205,10026,2026-07-30T00:00:00,ADJUSTMENT,-2,SYNTHETIC,,2026-08-15T12:00:00
