shipment_id,order_id,carrier,tracking_number,ship_date,promised_delivery_date,actual_delivery_date,shipment_status,shipping_cost,created_at,updated_at
30000039,9000075,SwiftShip,NST9000075216,2026-07-26,2026-07-29,2026-07-27,DELIVERED,0.0,2026-07-26T00:00:00,2026-08-15T12:00:00
30000040,9000076,National Ground,NST9000076206,2025-07-15,2025-07-18,2025-07-16,DELIVERED,0.0,2025-07-15T00:00:00,2026-08-15T12:00:00
30000041,9000078,National Ground,NST9000078511,2025-07-02,2025-07-04,2025-07-06,DELIVERED,7.99,2025-07-02T00:00:00,2026-08-15T12:00:00
30000042,9000079,SwiftShip,NST9000079283,2024-12-24,2024-12-25,2024-12-25,DELIVERED,0.0,2024-12-24T00:00:00,2026-08-15T12:00:00
30000043,9000083,National Ground,NST9000083882,2026-05-27,2026-05-31,2026-06-02,DELIVERED,0.0,2026-05-27T00:00:00,2026-08-15T12:00:00
30000044,9000084,SwiftShip,NST9000084476,2026-06-06,2026-06-09,2026-06-12,DELIVERED,0.0,2026-06-06T00:00:00,2026-08-15T12:00:00
30000045,9000085,National Ground,NST9000085972,2024-06-22,2024-06-24,2024-06-24,DELIVERED,0.0,2024-06-22T00:00:00,2026-08-15T12:00:00
30000046,9000086,SwiftShip,NST9000086797,2025-06-18,2025-06-19,2025-06-21,DELIVERED,0.0,2025-06-18T00:00:00,2026-08-15T12:00:00
30000047,9000087,SwiftShip,NST9000087677,2025-05-15,2025-05-16,2025-05-18,DELIVERED,0.0,2025-05-15T00:00:00,2026-08-15T12:00:00
30000048,9000088,National Ground,NST9000088218,2026-07-05,2026-07-07,2026-07-11,DELIVERED,0.0,2026-07-05T00:00:00,2026-08-15T12:00:00
30000049,9000091,ParcelOne,NST9000091825,2026-04-19,2026-04-22,2026-04-21,DELIVERED,0.0,2026-04-19T00:00:00,2026-08-15T12:00:00
30000050,9000093,SwiftShip,NST9000093752,2025-08-02,2025-08-03,2025-08-06,DELIVERED,0.0,2025-08-02T00:00:00,2026-08-15T12:00:00
30000051,9000097,ParcelOne,NST9000097670,2024-07-24,2024-07-24,2024-07-26,DELIVERED,0.0,2024-07-24T00:00:00,2026-08-15T12:00:00
30000052,9000098,SwiftShip,NST9000098548,2026-01-07,2026-01-07,2026-01-11,DELIVERED,4.99,2026-01-07T00:00:00,2026-08-15T12:00:00
30000053,9000099,SwiftShip,NST9000099522,2026-06-22,2026-06-24,2026-06-25,DELIVERED,0.0,2026-06-22T00:00:00,2026-08-15T12:00:00
30000054,9000100,ParcelOne,NST9000100376,2024-09-30,2024-10-01,2024-10-01,DELIVERED,0.0,2024-09-30T00:00:00,2026-08-15T12:00:00
30000055,9000102,SwiftShip,NST9000102261,2025-03-19,2025-03-20,2025-03-22,DELIVERED,9.99,2025-03-19T00:00:00,2026-08-15T12:00:00
30000056,9000103,ParcelOne,NST9000103208,2026-02-01,2026-02-04,2026-02-07,DELIVERED,0.0,2026-02-01T00:00:00,2026-08-15T12:00:00
30000057,9000104,ParcelOne,NST9000104831,2025-06-14,2025-06-15,2025-06-17,DELIVERED,0.0,2025-06-14T00:00:00,2026-08-15T12:00:00
30000058,9000105,ParcelOne,NST9000105796,2025-10-22,2025-10-24,2025-10-23,DELIVERED,0.0,2025-10-22T00:00:00,2026-08-15T12:00:00
30000059,9000107,ParcelOne,NST9000107539,2025-10-08,2025-10-09,2025-10-11,DELIVERED,4.99,2025-10-08T00:00:00,2026-08-15T12:00:00
30000060,9000108,SwiftShip,NST9000108143,2026-07-12,2026-07-15,2026-07-18,DELIVERED,7.99,2026-07-12T00:00:00,2026-08-15T12:00:00
30000061,9000109,National Ground,NST9000109699,2026-07-08,2026-07-11,2026-07-14,DELIVERED,4.99,2026-07-08T00:00:00,2026-08-15T12:00:00
30000062,9000111,SwiftShip,NST9000111790,2026-06-23,2026-06-26,2026-06-26,DELIVERED,0.0,2026-06-23T00:00:00,2026-08-15T12:00:00
30000063,9000113,ParcelOne,NST9000113359,2026-02-20,2026-02-22,2026-02-23,DELIVERED,0.0,2026-02-20T00:00:00,2026-08-15T12:00:00
30000064,9000114,SwiftShip,NST9000114428,2025-09-30,2025-10-02,2025-10-06,DELIVERED,0.0,2025-09-30T00:00:00,2026-08-15T12:00:00
30000065,9000115,SwiftShip,NST9000115436,2025-10-19,2025-10-22,2025-10-20,DELIVERED,0.0,2025-10-19T00:00:00,2026-08-15T12:00:00
30000066,9000120,SwiftShip,NST9000120501,2026-06-22,2026-06-23,2026-06-23,DELIVERED,9.99,2026-06-22T00:00:00,2026-08-15T12:00:00
30000067,9000122,National Ground,NST9000122604,2026-07-30,2026-08-04,2026-08-05,DELIVERED,0.0,2026-07-30T00:00:00,2026-08-15T12:00:00
30000068,9000123,National Ground,NST9000123106,2024-06-01,2024-06-04,2024-06-05,DELIVERED,9.99,2024-06-01T00:00:00,2026-08-15T12:00:00
30000069,9000126,SwiftShip,NST9000126130,2025-12-22,2025-12-26,2025-12-23,DELIVERED,0.0,2025-12-22T00:00:00,2026-08-15T12:00:00
30000070,9000128,SwiftShip,NST9000128494,2026-07-22,2026-07-26,2026-07-23,DELIVERED,0.0,2026-07-22T00:00:00,2026-08-15T12:00:00
30000071,9000129,SwiftShip,NST9000129616,2026-04-12,2026-04-15,2026-04-15,DELIVERED,0.0,2026-04-12T00:00:00,2026-08-15T12:00:00
30000072,9000130,SwiftShip,NST9000130762,2025-12-31,2026-01-02,2026-01-06,DELIVERED,4.99,2025-12-31T00:00:00,2026-08-15T12:00:00
30000073,9000131,National Ground,NST9000131118,2025-04-18,2025-04-21,2025-04-20,DELIVERED,7.99,2025-04-18T00:00:00,2026-08-15T12:00:00
30000074,9000136,ParcelOne,NST9000136151,2024-06-06,2024-06-11,2024-06-10,DELIVERED,7.99,2024-06-06T00:00:00,2026-08-15T12:00:00
30000075,9000137,ParcelOne,NST9000137945,2025-05-21,2025-05-21,2025-05-24,DELIVERED,0.0,2025-05-21T00:00:00,2026-08-15T12:00:00
30000076,9000138,ParcelOne,NST9000138944,2025-03-15,2025-03-19,2025-03-17,DELIVERED,0.0,2025-03-15T00:00:00,2026-08-15T12:00:00
30000077,9000144,SwiftShip,NST9000144483,2026-07-16,2026-07-19,2026-07-22,DELIVERED,0.0,2026-07-16T00:00:00,2026-08-15T12:00:00
30000078,9000150,SwiftShip,NST9000150985,2025-01-30,2025-02-02,2025-02-02,DELIVERED,9.99,2025-01-30T00:00:00,2026-08-15T12:00:00
30000079,9000151,National Ground,NST9000151186,2025-10-27,2025-10-29,2025-10-28,DELIVERED,0.0,2025-10-27T00:00:00,2026-08-15T12:00:00
30000080,9000153,SwiftShip,NST9000153133,2025-05-15,2025-05-17,2025-05-16,DELIVERED,0.0,2025-05-15T00:00:00,2026-08-15T12:00:00
30000081,9000155,National Ground,NST9000155797,2026-02-09,2026-02-12,2026-02-11,DELIVERED,4.99,2026-02-09T00:00:00,2026-08-15T12:00:00
30000082,9000156,SwiftShip,NST9000156636,2026-01-01,2026-01-03,2026-01-04,DELIVERED,0.0,2026-01-01T00:00:00,2026-08-15T12:00:00
30000083,9000160,SwiftShip,NST9000160433,2024-12-11,2024-12-16,2024-12-14,DELIVERED,0.0,2024-12-11T00:00:00,2026-08-15T12:00:00
30000084,9000162,SwiftShip,NST9000162576,2026-07-16,2026-07-20,2026-07-20,DELIVERED,9.99,2026-07-16T00:00:00,2026-08-15T12:00:00
30000085,9000164,SwiftShip,NST9000164737,2026-05-19,2026-05-20,2026-05-23,DELIVERED,0.0,2026-05-19T00:00:00,2026-08-15T12:00:00
30000086,9000166,ParcelOne,NST9000166984,2025-08-07,2025-08-10,2025-08-08,DELIVERED,0.0,2025-08-07T00:00:00,2026-08-15T12:00:00
30000087,9000167,SwiftShip,NST9000167259,2026-04-29,2026-05-01,2026-04-30,DELIVERED,4.99,2026-04-29T00:00:00,2026-08-15T12:00:00
30000088,9000168,National Ground,NST9000168201,2026-07-04,2026-07-07,2026-07-05,DELIVERED,9.99,2026-07-04T00:00:00,2026-08-15T12:00:00
30000089,9000169,National Ground,NST9000169865,2025-11-10,2025-11-13,2025-11-16,DELIVERED,4.99,2025-11-10T00:00:00,2026-08-15T12:00:00
30000090,9000170,ParcelOne,NST9000170124,2026-04-25,2026-04-27,2026-05-01,DELIVERED,0.0,2026-04-25T00:00:00,2026-08-15T12:00:00
30000091,9000173,SwiftShip,NST9000173835,2024-10-23,2024-10-25,2024-10-25,DELIVERED,0.0,2024-10-23T00:00:00,2026-08-15T12:00:00
30000092,9000174,ParcelOne,NST9000174595,2024-10-12,2024-10-13,2024-10-16,DELIVERED,0.0,2024-10-12T00:00:00,2026-08-15T12:00:00
30000093,9000175,SwiftShip,NST9000175863,2026-03-13,2026-03-15,2026-03-19,DELIVERED,0.0,2026-03-13T00:00:00,2026-08-15T12:00:00
30000094,9000176,ParcelOne,NST9000176399,2026-03-29,2026-04-03,2026-03-30,DELIVERED,4.99,2026-03-29T00:00:00,2026-08-15T12:00:00
30000095,9000179,SwiftShip,NST9000179174,2026-05-12,2026-05-15,2026-05-14,DELIVERED,9.99,2026-05-12T00:00:00,2026-08-15T12:00:00
30000096,9000181,SwiftShip,NST9000181683,2026-07-14,2026-07-16,2026-07-17,DELIVERED,0.0,2026-07-14T00:00:00,2026-08-15T12:00:00
30000097,9000183,ParcelOne,NST9000183465,2025-10-20,2025-10-20,2025-10-24,DELIVERED,0.0,2025-10-20T00:00:00,2026-08-15T12:00:00
30000098,9000184,National Ground,NST9000184134,2025-07-19,2025-07-21,2025-07-25,DELIVERED,0.0,2025-07-19T00:00:00,2026-08-15T12:00:00
30000099,9000185,SwiftShip,NST9000185391,2026-05-02,2026-05-07,2026-05-06,DELIVERED,0.0,2026-05-02T00:00:00,2026-08-15T12:00:00
30000100,9000186,ParcelOne,NST9000186687,2026-07-19,2026-07-20,2026-07-23,DELIVERED,0.0,2026-07-19T00:00:00,2026-08-15T12:00:00
30000101,9000187,National Ground,NST9000187572,2024-12-10,2024-12-13,2024-12-11,DELIVERED,0.0,2024-12-10T00:00:00,2026-08-15T12:00:00
30000102,9000188,ParcelOne,NST9000188137,2024-06-02,2024-06-04,2024-06-06,DELIVERED,4.99,2024-06-02T00:00:00,2026-08-15T12:00:00
30000103,9000189,SwiftShip,NST9000189755,2026-07-22,2026-07-23,2026-07-24,DELIVERED,0.0,2026-07-22T00:00:00,2026-08-15T12:00:00
30000104,9000191,SwiftShip,NST9000191268,2026-07-15,2026-07-19,2026-07-18,DELIVERED,7.99,2026-07-15T00:00:00,2026-08-15T12:00:00
30000105,9000193,SwiftShip,NST9000193435,2025-12-10,2025-12-10,2025-12-13,DELIVERED,0.0,2025-12-10T00:00:00,2026-08-15T12:00:00
30000106,9000194,SwiftShip,NST9000194695,2025-05-21,2025-05-23,2025-05-22,DELIVERED,0.0,2025-05-21T00:00:00,2026-08-15T12:00:00
30000107,9000197,SwiftShip,NST9000197396,2026-06-27,2026-06-28,2026-06-30,DELIVERED,9.99,2026-06-27T00:00:00,2026-08-15T12:00:00
30000108,9000199,ParcelOne,NST9000199526,2026-07-06,2026-07-09,2026-07-07,DELIVERED,4.99,2026-07-06T00:00:00,2026-08-15T12:00:00
30000109,9000200,National Ground,NST9000200326,2026-07-20,2026-07-21,2026-07-21,DELIVERED,0.0,2026-07-20T00:00:00,2026-08-15T12:00:00
