order_item_id,order_id,line_number,product_id,quantity,unit_price,unit_cost,discount_amount,tax_amount,created_at,updated_at
10000046,9000026,1,10019,1,52.9,20.3,0.0,2.65,2025-07-21T19:43:00,2026-08-15T12:00:00
10000047,9000027,1,10003,3,54.28,33.16,24.43,0.0,2024-02-04T13:22:00,2026-08-15T12:00:00
10000048,9000027,2,10006,1,36.17,18.38,5.43,1.54,2024-02-04T13:22:00,2026-08-15T12:00:00
10000049,9000028,1,10015,2,48.67,34.72,0.0,7.79,2026-07-14T14:07:00,2026-08-15T12:00:00
10000050,9000028,2,10008,1,18.15,12.81,0.0,1.09,2026-07-14T14:07:00,2026-08-15T12:00:00
10000051,9000028,3,10006,1,36.17,18.38,0.0,1.81,2026-07-14T14:07:00,2026-08-15T12:00:00
10000052,9000028,4,10026,1,17.69,11.26,0.0,0.0,2026-07-14T14:07:00,2026-08-15T12:00:00
10000053,9000029,1,10012,1,21.47,7.82,3.22,0.0,2026-04-02T18:50:00,2026-08-15T12:00:00
10000054,9000030,1,10015,1,48.67,34.72,4.87,3.5,2025-08-02T18:09:00,2026-08-15T12:00:00
10000055,9000030,2,10027,3,50.46,27.74,22.71,10.29,2025-08-02T18:09:00,2026-08-15T12:00:00
10000056,9000030,3,10019,1,52.9,20.3,5.29,2.86,2025-08-02T18:09:00,2026-08-15T12:00:00
10000057,9000030,4,10028,2,19.79,12.54,1.98,0.0,2025-08-02T18:09:00,2026-08-15T12:00:00
10000058,9000031,1,10001,1,37.63,22.77,0.0,0.0,2024-04-20T17:55:00,2026-08-15T12:00:00
10000059,9000032,1,10016,1,55.14,29.62,5.51,0.0,2026-07-22T18:43:00,2026-08-15T12:00:00
10000060,9000032,2,10013,1,84.25,32.51,12.64,4.3,2026-07-22T18:43:00,2026-08-15T12:00:00
10000061,9000032,3,10023,1,32.24,21.91,1.61,1.84,2026-07-22T18:43:00,2026-08-15T12:00:00
10000062,9000032,4,10025,2,31.3,15.29,9.39,3.19,2026-07-22T18:43:00,2026-08-15T12:00:00
10000063,9000033,1,10020,1,34.99,13.43,5.25,2.38,2026-02-28T15:11:00,2026-08-15T12:00:00
10000064,9000033,2,10021,1,37.57,20.21,5.64,1.6,2026-02-28T15:11:00,2026-08-15T12:00:00
10000065,9000034,1,10020,2,34.99,13.43,10.5,2.97,2024-09-21T10:15:00,2026-08-15T12:00:00
10000066,9000034,2,10027,1,50.46,27.74,7.57,3.43,2024-09-21T10:15:00,2026-08-15T12:00:00
10000067,9000035,1,10009,1,56.51,35.78,0.0,2.83,2025-09-05T18:01:00,2026-08-15T12:00:00
10000068,9000036,1,10014,1,38.33,17.8,3.83,2.76,2025-01-25T15:59:00,2026-08-15T12:00:00
10000069,9000036,2,10028,1,19.79,12.54,2.97,1.35,2025-01-25T15:59:00,2026-08-15T12:00:00
10000070,9000037,1,10015,1,48.67,34.72,4.87,2.63,2026-07-18T14:34:00,2026-08-15T12:00:00
10000071,9000037,2,10004,2,32.58,17.78,9.77,2.77,2026-07-18T14:34:00,2026-08-15T12:00:00
10000072,9000038,1,10011,3,72.76,27.25,0.0,0.0,2026-05-27T08:19:00,2026-08-15T12:00:00
10000073,9000038,2,10028,1,19.79,12.54,0.0,1.58,2026-05-27T08:19:00,2026-08-15T12:00:00
10000074,9000038,3,10010,2,31.14,16.68,0.0,3.11,2026-05-27T08:19:00,2026-08-15T12:00:00
10000075,9000039,1,10014,1,38.33,17.8,3.83,1.73,2026-05-30T22:20:00,2026-08-15T12:00:00
10000076,9000040,1,10005,2,94.96,36.23,28.49,9.69,2025-11-16T17:07:00,2026-08-15T12:00:00
10000077,9000040,2,10012,1,21.47,7.82,1.07,0.0,2025-11-16T17:07:00,2026-08-15T12:00:00
10000078,9000040,3,10003,1,54.28,33.16,8.14,2.31,2025-11-16T17:07:00,2026-08-15T12:00:00
10000079,9000041,1,10022,2,135.46,58.61,0.0,0.0,2026-06-06T17:24:00,2026-08-15T12:00:00
10000080,9000042,1,10016,1,55.14,29.62,5.51,2.98,2026-02-11T15:56:00,2026-08-15T12:00:00
10000081,9000043,1,10021,2,37.57,20.21,7.51,4.06,2025-10-14T17:45:00,2026-08-15T12:00:00
10000082,9000043,2,10017,1,140.14,69.19,14.01,0.0,2025-10-14T17:45:00,2026-08-15T12:00:00
10000083,9000043,3,10013,1,84.25,32.51,12.64,3.58,2025-10-14T17:45:00,2026-08-15T12:00:00
10000084,9000043,4,10011,2,72.76,27.25,7.28,0.0,2025-10-14T17:45:00,2026-08-15T12:00:00
10000085,9000044,1,10017,2,140.14,69.19,28.03,0.0,2025-04-09T20:12:00,2026-08-15T12:00:00
10000086,9000044,2,10009,2,56.51,35.78,16.95,4.8,2025-04-09T20:12:00,2026-08-15T12:00:00
10000087,9000044,3,10028,1,19.79,12.54,2.97,1.35,2025-04-09T20:12:00,2026-08-15T12:00:00
10000088,9000045,1,10011,1,72.76,27.25,0.0,4.37,2025-11-08T17:58:00,2026-08-15T12:00:00
10000089,9000045,2,10017,1,140.14,69.19,0.0,11.21,2025-11-08T17:58:00,2026-08-15T12:00:00
10000090,9000045,3,10021,1,37.57,20.21,0.0,3.01,2025-11-08T17:58:00,2026-08-15T12:00:00
10000091,9000046,1,10006,1,36.17,18.38,0.0,0.0,2025-12-26T16:39:00,2026-08-15T12:00:00
10000092,9000046,2,10028,1,19.79,12.54,0.0,0.0,2025-12-26T16:39:00,2026-08-15T12:00:00
10000093,9000046,3,10017,2,140.14,69.19,0.0,16.82,2025-12-26T16:39:00,2026-08-15T12:00:00
10000094,9000046,4,10010,1,31.14,16.68,0.0,2.49,2025-12-26T16:39:00,2026-08-15T12:00:00
10000095,9000047,1,10003,2,54.28,33.16,0.0,6.51,2026-04-15T15:28:00,2026-08-15T12:00:00
10000096,9000047,2,10010,2,31.14,16.68,0.0,3.74,2026-04-15T15:28:00,2026-08-15T12:00:00
10000097,9000047,3,10022,1,135.46,58.61,0.0,8.13,2026-04-15T15:28:00,2026-08-15T12:00:00
10000098,9000048,1,10020,1,34.99,13.43,1.75,0.0,2026-07-03T21:54:00,2026-08-15T12:00:00
10000099,9000049,1,10025,2,31.3,15.29,0.0,0.0,2026-06-26T16:37:00,2026-08-15T12:00:00
10000100,9000049,2,10003,1,54.28,33.16,0.0,2.71,2026-06-26T16:37:00,2026-08-15T12:00:00
10000101,9000050,1,10014,1,38.33,17.8,5.75,1.63,2026-01-24T14:19:00,2026-08-15T12:00:00
10000102,9000050,2,10012,1,21.47,7.82,1.07,0.0,2026-01-24T14:19:00,2026-08-15T12:00:00
10000103,9000051,1,10028,1,19.79,12.54,0.99,1.13,2025-10-14T15:10:00,2026-08-15T12:00:00
10000104,9000051,2,10012,2,21.47,7.82,2.15,2.45,2025-10-14T15:10:00,2026-08-15T12:00:00
10000105,9000051,3,10023,1,32.24,21.91,1.61,1.53,2025-10-14T15:10:00,2026-08-15T12:00:00
10000106,9000051,4,10029,1,27.97,16.93,2.8,2.01,2025-10-14T15:10:00,2026-08-15T12:00:00
10000107,9000051,5,10030,1,33.78,21.73,5.07,2.3,2025-10-14T15:10:00,2026-08-15T12:00:00
10000108,9000052,1,10027,1,50.46,27.74,2.52,3.84,2025-09-20T19:29:00,2026-08-15T12:00:00
10000109,9000053,1,10007,1,75.41,28.66,0.0,4.52,2024-11-03T17:31:00,2026-08-15T12:00:00
10000110,9000053,2,10005,1,94.96,36.23,0.0,4.75,2024-11-03T17:31:00,2026-08-15T12:00:00
10000111,9000054,1,10015,1,48.67,34.72,2.43,2.31,2026-07-09T18:30:00,2026-08-15T12:00:00
10000112,9000055,1,10016,1,55.14,29.62,5.51,2.48,2025-03-14T13:22:00,2026-08-15T12:00:00
10000113,9000056,1,10029,1,27.97,16.93,2.8,1.26,2025-12-12T12:57:00,2026-08-15T12:00:00
10000114,9000057,1,10019,1,52.9,20.3,2.65,4.02,2024-10-17T16:50:00,2026-08-15T12:00:00
10000115,9000058,1,10023,1,32.24,21.91,0.0,2.58,2025-09-27T18:06:00,2026-08-15T12:00:00
10000116,9000058,2,10028,2,19.79,12.54,0.0,3.17,2025-09-27T18:06:00,2026-08-15T12:00:00
10000117,9000058,3,10018,1,55.34,28.8,0.0,3.32,2025-09-27T18:06:00,2026-08-15T12:00:00
10000118,9000059,1,10017,1,140.14,69.19,14.01,10.09,2024-05-28T15:22:00,2026-08-15T12:00:00
10000119,9000059,2,10011,1,72.76,27.25,10.91,4.95,2024-05-28T15:22:00,2026-08-15T12:00:00
10000120,9000060,1,10026,2,17.69,11.26,0.0,2.83,2024-07-22T14:52:00,2026-08-15T12:00:00
10000121,9000060,2,10027,1,50.46,27.74,0.0,2.52,2024-07-22T14:52:00,2026-08-15T12:00:00
10000122,9000061,1,10018,1,55.34,28.8,0.0,0.0,2026-03-05T12:55:00,2026-08-15T12:00:00
10000123,9000061,2,10005,1,94.96,36.23,0.0,0.0,2026-03-05T12:55:00,2026-08-15T12:00:00
10000124,9000061,3,10008,1,18.15,12.81,0.0,1.09,2026-03-05T12:55:00,2026-08-15T12:00:00
10000125,9000061,4,10009,2,56.51,35.78,0.0,6.78,2026-03-05T12:55:00,2026-08-15T12:00:00
10000126,9000062,1,10024,1,104.78,37.65,5.24,0.0,2026-07-07T15:08:00,2026-08-15T12:00:00
10000127,9000062,2,10016,1,55.14,29.62,2.76,0.0,2026-07-07T15:08:00,2026-08-15T12:00:00
10000128,9000062,3,10006,1,36.17,18.38,5.43,1.54,2026-07-07T15:08:00,2026-08-15T12:00:00
10000129,9000062,4,10030,1,33.78,21.73,5.07,0.0,2026-07-07T15:08:00,2026-08-15T12:00:00
10000130,9000063,1,10008,2,18.15,12.81,0.0,0.0,2025-04-06T16:19:00,2026-08-15T12:00:00
10000131,9000064,1,10030,1,33.78,21.73,0.0,1.69,2026-05-17T18:45:00,2026-08-15T12:00:00
10000132,9000065,1,10026,2,17.69,11.26,3.54,2.55,2025-04-17T14:29:00,2026-08-15T12:00:00
10000133,9000066,1,10012,1,21.47,7.82,0.0,0.0,2025-08-14T21:41:00,2026-08-15T12:00:00
10000134,9000066,2,10002,3,62.06,22.87,0.0,11.17,2025-08-14T21:41:00,2026-08-15T12:00:00
10000135,9000067,1,10017,1,140.14,69.19,7.01,6.66,2026-06-24T16:18:00,2026-08-15T12:00:00
10000136,9000068,1,10028,3,19.79,12.54,0.0,0.0,2024-12-30T19:55:00,2026-08-15T12:00:00
10000137,9000069,1,10023,1,32.24,21.91,0.0,1.93,2025-05-29T21:35:00,2026-08-15T12:00:00
10000138,9000070,1,10011,2,72.76,27.25,0.0,11.64,2026-01-18T16:22:00,2026-08-15T12:00:00
10000139,9000070,2,10016,1,55.14,29.62,0.0,4.41,2026-01-18T16:22:00,2026-08-15T12:00:00
10000140,9000070,3,10002,1,62.06,22.87,0.0,3.1,2026-01-18T16:22:00,2026-08-15T12:00:00
10000141,9000071,1,10002,1,62.06,22.87,0.0,4.96,2025-04-20T10:03:00,2026-08-15T12:00:00
10000142,9000071,2,10017,1,140.14,69.19,0.0,8.41,2025-04-20T10:03:00,2026-08-15T12:00:00
10000143,9000072,1,10005,1,94.96,36.23,9.5,6.84,2026-02-18T11:43:00,2026-08-15T12:00:00
10000144,9000073,1,10013,1,84.25,32.51,0.0,4.21,2026-02-09T19:43:00,2026-08-15T12:00:00
10000145,9000073,2,10025,4,31.3,15.29,0.0,7.51,2026-02-09T19:43:00,2026-08-15T12:00:00
10000146,9000074,1,10006,1,36.17,18.38,0.0,0.0,2025-09-07T17:49:00,2026-08-15T12:00:00
10000147,9000074,2,10025,2,31.3,15.29,0.0,0.0,2025-09-07T17:49:00,2026-08-15T12:00:00
10000148,9000074,3,10026,1,17.69,11.26,0.0,0.88,2025-09-07T17:49:00,2026-08-15T12:00:00
10000149,9000074,4,10021,2,37.57,20.21,0.0,3.76,2025-09-07T17:49:00,2026-08-15T12:00:00
10000150,9000075,1,10010,3,31.14,16.68,14.01,3.97,2026-07-26T09:06:00,2026-08-15T12:00:00
10000151,9000076,1,10030,3,33.78,21.73,5.07,5.78,2025-07-14T12:33:00,2026-08-15T12:00:00
10000152,9000076,2,10021,2,37.57,20.21,7.51,0.0,2025-07-14T12:33:00,2026-08-15T12:00:00
10000153,9000077,1,10012,1,21.47,7.82,1.07,1.02,2025-12-21T18:44:00,2026-08-15T12:00:00
10000154,9000078,1,10020,1,34.99,13.43,0.0,2.1,2025-07-01T12:28:00,2026-08-15T12:00:00
10000155,9000079,1,10017,1,140.14,69.19,21.02,5.96,2024-12-22T18:13:00,2026-08-15T12:00:00
10000156,9000080,1,10003,1,54.28,33.16,5.43,2.93,2026-04-23T14:34:00,2026-08-15T12:00:00
10000157,9000080,2,10015,2,48.67,34.72,4.87,7.4,2026-04-23T14:34:00,2026-08-15T12:00:00
10000158,9000081,1,10017,1,140.14,69.19,0.0,8.41,2026-07-31T11:07:00,2026-08-15T12:00:00
10000159,9000082,1,10022,2,135.46,58.61,0.0,21.67,2025-07-26T12:49:00,2026-08-15T12:00:00
10000160,9000082,2,10008,2,18.15,12.81,0.0,1.81,2025-07-26T12:49:00,2026-08-15T12:00:00
10000161,9000083,1,10020,1,34.99,13.43,0.0,2.1,2026-05-26T10:47:00,2026-08-15T12:00:00
10000162,9000083,2,10013,1,84.25,32.51,0.0,5.05,2026-05-26T10:47:00,2026-08-15T12:00:00
10000163,9000083,3,10026,1,17.69,11.26,0.0,0.0,2026-05-26T10:47:00,2026-08-15T12:00:00
10000164,9000083,4,10028,2,19.79,12.54,0.0,0.0,2026-05-26T10:47:00,2026-08-15T12:00:00
10000165,9000083,5,10012,1,21.47,7.82,0.0,1.29,2026-05-26T10:47:00,2026-08-15T12:00:00
10000166,9000084,1,10007,1,75.41,28.66,0.0,6.03,2026-06-06T13:44:00,2026-08-15T12:00:00
10000167,9000084,2,10002,1,62.06,22.87,0.0,3.72,2026-06-06T13:44:00,2026-08-15T12:00:00
10000168,9000085,1,10022,3,135.46,58.61,40.64,0.0,2024-06-22T12:09:00,2026-08-15T12:00:00
10000169,9000086,1,10022,2,135.46,58.61,13.55,15.44,2025-06-17T12:44:00,2026-08-15T12:00:00
10000170,9000087,1,10024,1,104.78,37.65,0.0,6.29,2025-05-13T11:56:00,2026-08-15T12:00:00
10000171,9000088,1,10007,1,75.41,28.66,0.0,0.0,2026-07-03T12:03:00,2026-08-15T12:00:00
10000172,9000089,1,10018,1,55.34,28.8,0.0,4.43,2026-01-22T15:28:00,2026-08-15T12:00:00
10000173,9000090,1,10022,1,135.46,58.61,0.0,0.0,2024-11-23T16:20:00,2026-08-15T12:00:00
10000174,9000091,1,10002,1,62.06,22.87,6.21,3.35,2026-04-18T11:44:00,2026-08-15T12:00:00
10000175,9000091,2,10025,1,31.3,15.29,4.7,2.13,2026-04-18T11:44:00,2026-08-15T12:00:00
10000176,9000091,3,10008,1,18.15,12.81,0.91,1.03,2026-04-18T11:44:00,2026-08-15T12:00:00
10000177,9000092,1,10015,1,48.67,34.72,4.87,2.63,2025-08-12T20:11:00,2026-08-15T12:00:00
10000178,9000092,2,10027,1,50.46,27.74,7.57,2.14,2025-08-12T20:11:00,2026-08-15T12:00:00
10000179,9000092,3,10017,1,140.14,69.19,7.01,10.65,2025-08-12T20:11:00,2026-08-15T12:00:00
10000180,9000093,1,10014,2,38.33,17.8,0.0,0.0,2025-08-01T13:13:00,2026-08-15T12:00:00
10000181,9000094,1,10023,2,32.24,21.91,9.67,2.74,2026-04-17T13:40:00,2026-08-15T12:00:00
10000182,9000094,2,10008,1,18.15,12.81,1.81,0.82,2026-04-17T13:40:00,2026-08-15T12:00:00
10000183,9000095,1,10016,1,55.14,29.62,5.51,0.0,2026-02-07T09:40:00,2026-08-15T12:00:00
10000184,9000096,1,10007,1,75.41,28.66,0.0,6.03,2024-05-04T16:35:00,2026-08-15T12:00:00
10000185,9000096,2,10009,1,56.51,35.78,0.0,2.83,2024-05-04T16:35:00,2026-08-15T12:00:00
10000186,9000096,3,10016,1,55.14,29.62,0.0,4.41,2024-05-04T16:35:00,2026-08-15T12:00:00
10000187,9000096,4,10005,1,94.96,36.23,0.0,5.7,2024-05-04T16:35:00,2026-08-15T12:00:00
10000188,9000097,1,10023,2,32.24,21.91,9.67,3.29,2024-07-22T15:21:00,2026-08-15T12:00:00
10000189,9000097,2,10017,1,140.14,69.19,7.01,10.65,2024-07-22T15:21:00,2026-08-15T12:00:00
10000190,9000098,1,10001,1,37.63,22.77,5.64,1.92,2026-01-05T12:00:00,2026-08-15T12:00:00
10000191,9000099,1,10015,1,48.67,34.72,2.43,3.7,2026-06-20T15:32:00,2026-08-15T12:00:00
10000192,9000099,2,10013,1,84.25,32.51,12.64,0.0,2026-06-20T15:32:00,2026-08-15T12:00:00
10000193,9000100,1,10023,1,32.24,21.91,0.0,0.0,2024-09-28T13:31:00,2026-08-15T12:00:00
10000194,9000100,2,10029,1,27.97,16.93,0.0,2.24,2024-09-28T13:31:00,2026-08-15T12:00:00
10000195,9000100,3,10024,1,104.78,37.65,0.0,6.29,2024-09-28T13:31:00,2026-08-15T12:00:00
10000196,9000100,4,10014,1,38.33,17.8,0.0,3.07,2024-09-28T13:31:00,2026-08-15T12:00:00
10000197,9000100,5,10027,3,50.46,27.74,0.0,12.11,2024-09-28T13:31:00,2026-08-15T12:00:00
10000198,9000101,1,10025,1,31.3,15.29,0.0,1.57,2026-05-04T11:26:00,2026-08-15T12:00:00
10000199,9000101,2,10013,2,84.25,32.51,0.0,0.0,2026-05-04T11:26:00,2026-08-15T12:00:00
10000200,9000102,1,10025,1,31.3,15.29,1.57,0.0,2025-03-17T15:28:00,2026-08-15T12:00:00
10000201,9000103,1,10003,1,54.28,33.16,0.0,4.34,2026-02-01T16:10:00,2026-08-15T12:00:00
10000202,9000103,2,10027,1,50.46,27.74,0.0,4.04,2026-02-01T16:10:00,2026-08-15T12:00:00
10000203,9000104,1,10021,1,37.57,20.21,3.76,2.03,2025-06-12T09:22:00,2026-08-15T12:00:00
10000204,9000104,2,10022,1,135.46,58.61,13.55,9.75,2025-06-12T09:22:00,2026-08-15T12:00:00
10000205,9000104,3,10013,4,84.25,32.51,50.55,17.19,2025-06-12T09:22:00,2026-08-15T12:00:00
10000206,9000104,4,10019,1,52.9,20.3,7.93,0.0,2025-06-12T09:22:00,2026-08-15T12:00:00
10000207,9000105,1,10019,1,52.9,20.3,5.29,2.38,2025-10-20T12:34:00,2026-08-15T12:00:00
10000208,9000105,2,10001,2,37.63,22.77,3.76,5.72,2025-10-20T12:34:00,2026-08-15T12:00:00
10000209,9000106,1,10004,1,32.58,17.78,1.63,1.86,2025-04-02T11:57:00,2026-08-15T12:00:00
10000210,9000106,2,10023,1,32.24,21.91,4.84,0.0,2025-04-02T11:57:00,2026-08-15T12:00:00
10000211,9000106,3,10021,1,37.57,20.21,3.76,2.03,2025-04-02T11:57:00,2026-08-15T12:00:00
10000212,9000106,4,10017,1,140.14,69.19,21.02,0.0,2025-04-02T11:57:00,2026-08-15T12:00:00
10000213,9000107,1,10009,1,56.51,35.78,0.0,4.52,2025-10-07T19:08:00,2026-08-15T12:00:00
10000214,9000108,1,10015,1,48.67,34.72,0.0,3.89,2026-07-11T16:42:00,2026-08-15T12:00:00
10000215,9000109,1,10010,1,31.14,16.68,0.0,0.0,2026-07-07T14:01:00,2026-08-15T12:00:00
10000216,9000110,1,10017,1,140.14,69.19,0.0,11.21,2025-01-04T16:29:00,2026-08-15T12:00:00
10000217,9000111,1,10017,2,140.14,69.19,28.03,0.0,2026-06-22T10:28:00,2026-08-15T12:00:00
10000218,9000111,2,10015,3,48.67,34.72,21.9,9.93,2026-06-22T10:28:00,2026-08-15T12:00:00
10000219,9000111,3,10030,1,33.78,21.73,1.69,1.93,2026-06-22T10:28:00,2026-08-15T12:00:00
10000220,9000111,4,10011,1,72.76,27.25,7.28,3.93,2026-06-22T10:28:00,2026-08-15T12:00:00
10000221,9000112,1,10006,1,36.17,18.38,5.43,1.84,2024-03-30T18:32:00,2026-08-15T12:00:00
10000222,9000113,1,10016,3,55.14,29.62,0.0,0.0,2026-02-19T18:02:00,2026-08-15T12:00:00
10000223,9000114,1,10013,1,84.25,32.51,0.0,0.0,2025-09-29T16:36:00,2026-08-15T12:00:00
10000224,9000114,2,10011,1,72.76,27.25,0.0,4.37,2025-09-29T16:36:00,2026-08-15T12:00:00
10000225,9000115,1,10002,3,62.06,22.87,0.0,11.17,2025-10-18T08:23:00,2026-08-15T12:00:00
10000226,9000116,1,10023,1,32.24,21.91,3.22,1.74,2026-07-24T14:28:00,2026-08-15T12:00:00
10000227,9000116,2,10024,1,104.78,37.65,15.72,5.34,2026-07-24T14:28:00,2026-08-15T12:00:00
10000228,9000117,1,10012,1,21.47,7.82,3.22,0.91,2024-09-08T13:06:00,2026-08-15T12:00:00
10000229,9000117,2,10013,2,84.25,32.51,16.85,7.58,2024-09-08T13:06:00,2026-08-15T12:00:00
10000230,9000118,1,10003,1,54.28,33.16,2.71,2.58,2025-07-14T14:02:00,2026-08-15T12:00:00
10000231,9000119,1,10023,1,32.24,21.91,0.0,1.61,2025-10-09T14:35:00,2026-08-15T12:00:00
10000232,9000119,2,10014,1,38.33,17.8,0.0,0.0,2025-10-09T14:35:00,2026-08-15T12:00:00
10000233,9000120,1,10004,1,32.58,17.78,1.63,1.86,2026-06-21T16:36:00,2026-08-15T12:00:00
10000234,9000121,1,10014,1,38.33,17.8,0.0,0.0,2026-05-28T18:47:00,2026-08-15T12:00:00
10000235,9000121,2,10023,1,32.24,21.91,0.0,1.93,2026-05-28T18:47:00,2026-08-15T12:00:00
10000236,9000122,1,10002,2,62.06,22.87,6.21,5.9,2026-07-30T18:12:00,2026-08-15T12:00:00
10000237,9000123,1,10026,1,17.69,11.26,2.65,1.2,2024-05-31T15:13:00,2026-08-15T12:00:00
10000238,9000124,1,10002,1,62.06,22.87,6.21,3.35,2024-01-04T17:11:00,2026-08-15T12:00:00
10000239,9000124,2,10012,1,21.47,7.82,2.15,1.55,2024-01-04T17:11:00,2026-08-15T12:00:00
10000240,9000125,1,10011,1,72.76,27.25,0.0,4.37,2026-05-11T11:04:00,2026-08-15T12:00:00
10000241,9000125,2,10024,1,104.78,37.65,0.0,8.38,2026-05-11T11:04:00,2026-08-15T12:00:00
10000242,9000126,1,10018,2,55.34,28.8,16.6,4.7,2025-12-22T15:32:00,2026-08-15T12:00:00
10000243,9000126,2,10006,2,36.17,18.38,10.85,3.07,2025-12-22T15:32:00,2026-08-15T12:00:00
